scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,0,0.258047998
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,1,0.261312008
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,2,0.262143999
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,3,0.264191985
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,4,0.260895997
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,5,0.261983991
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,6,0.263168007
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,7,0.262143999
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,8,0.261119992
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,0,0.509952009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,1,0.515007973
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,2,0.521055996
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,3,0.51404798
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,4,0.508928001
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,5,0.521215975
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,6,0.526336014
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,7,0.508928001
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,8,0.514880002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,0,0.571392
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,1,0.562175989
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,2,0.562175989
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,3,0.562111974
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,4,0.561151981
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,5,0.566335976
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,6,0.570367992
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,7,0.563199997
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,8,0.56627202
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,0,0.508960009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,1,0.504768014
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,2,0.509952009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,3,0.508928001
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,4,0.506879985
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,5,0.510976017
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,6,0.507903993
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,7,0.508928001
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,8,0.505855978
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,0,0.192512006
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,1,0.126719996
