scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,0,0.291743994
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,1,0.288767993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,2,0.286496013
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,3,0.282624006
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,4,0.288767993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,5,0.287743986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,6,0.283648014
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,7,0.289759994
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,8,0.287743986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,0,0.642048001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,1,0.654335976
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,2,0.642048001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,3,0.642048001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,4,0.654240012
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,5,0.643072009
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,6,0.642943978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,7,0.65228802
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,8,0.641023993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,0,0.739072025
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,1,0.73417598
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,2,0.730112016
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,3,0.732064009
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,4,0.730112016
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,5,0.732159972
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,6,0.735231996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,7,0.735135972
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,8,0.728991985
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,0,0.727039993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,1,0.722944021
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,2,0.723968029
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,3,0.723968029
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,4,0.724735975
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,5,0.724031985
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,6,0.723968029
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,7,0.722944021
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,8,0.723968029
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,0,0.136191994
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,1,0.132095993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,2,0.132095993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,3,0.131072
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,4,0.132095993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,5,0.132095993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,6,0.132287994
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,7,0.132095993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,8,0.13312
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,0,0.200703993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,1,0.190431997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,2,0.189439997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,3,0.190464005
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,4,0.189439997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,5,0.189439997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,6,0.189439997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,7,0.191456005
