scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,0,0.219136
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,1,0.239616007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,2,0.238591999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,3,0.215039998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,4,0.24064
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,5,0.238591999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,6,0.217087999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,7,0.238591999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,8,0.239616007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,0,0.497664005
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,1,0.470016003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,2,0.483328015
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,3,0.485376
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,4,0.49971199
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,5,0.483328015
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,6,0.493568003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,7,0.513023973
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,8,0.47615999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,0,0.483328015
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,1,0.475136012
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,2,0.480255991
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,3,0.467967987
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,4,0.494592011
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,5,0.464895993
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,6,0.484351993
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,7,0.467967987
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,8,0.489472002
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,0,0.481279999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,1,0.491519988
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,2,0.47104001
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,3,0.503808022
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,4,0.467967987
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,5,0.466944009
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,6,0.467967987
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,7,0.463871986
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,8,0.491519988
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,0,0.193535998
