scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,0,0.330751985
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,1,0.329728007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,2,0.328704
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,3,0.328704
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,4,0.329728007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,5,0.328704
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,6,0.328704
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,7,0.328704
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,8,0.328704
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,0,0.742399991
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,1,0.742399991
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,2,0.742399991
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,3,0.741375983
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,4,0.741375983
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,5,0.741375983
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,6,0.742399991
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,7,0.742399991
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,8,0.741375983
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,0,0.731136024
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,1,0.731136024
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,2,0.731136024
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,3,0.731136024
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,4,0.730112016
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,5,0.730112016
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,6,0.730112016
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,7,0.730112016
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,8,0.731136024
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,0,0.881663978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,1,0.881663978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,2,0.881663978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,3,0.881663978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,4,0.881663978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,5,0.882687986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,6,0.881663978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,7,0.882687986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,8,0.881663978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,0,0.164864004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,1,0.164864004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,2,0.164864004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,3,0.164864004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,4,0.163839996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,5,0.164864004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,6,0.163839996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,7,0.165887997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,8,0.164864004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,0,0.131072
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,1,0.130048007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,2,0.131072
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,3,0.130048007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,4,0.130048007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,5,0.131072
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,6,0.131072
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,7,0.130048007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,8,0.131072
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,0,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,1,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,2,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,3,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,4,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,5,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,6,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,7,0.352256
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,8,0.351231992
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,0,0.882687986
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,1,0.881663978
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,2,0.882687986
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,3,0.886784017
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,4,0.882687986
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,5,0.882687986
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,6,0.882687986
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,7,0.882687986
