scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,0,0.163200006
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,1,0.163552001
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,2,0.163583994
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,3,0.159935996
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,4,0.164320007
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,5,0.163872004
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,6,0.160768002
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,7,0.162719995
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,8,0.162816003
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,0,0.359135985
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,1,0.361375988
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,2,0.359744012
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,3,0.357663989
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,4,0.360480011
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,5,0.360031992
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,6,0.357279986
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,7,0.359072
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,8,0.360031992
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,0,0.379424006
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,1,0.377056003
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,2,0.377887994
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,3,0.378912002
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,4,0.376287997
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,5,0.377023995
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,6,0.380831987
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,7,0.379168004
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,8,0.379072011
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,0,0.370079994
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,1,0.375039995
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,2,0.369183987
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,3,0.370112002
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,4,0.368607998
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,5,0.369343996
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,6,0.367967993
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,7,0.370591998
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,8,0.368223995
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,0,0.130976006
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,1,0.121887997
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,2,0.121792004
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,3,0.122368
