scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,0,0.162783995
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,1,0.164800003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,2,0.163936004
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,3,0.160512
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,4,0.165664002
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,5,0.163808003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,6,0.161119998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,7,0.163455993
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-cuda32,8,0.163008004
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,0,0.360448003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,1,0.361824006
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,2,0.359744012
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,3,0.358752012
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,4,0.360448003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,5,0.360799998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,6,0.357567996
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,7,0.360992014
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-matched,8,0.359872013
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,0,0.377696007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,1,0.376480013
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,2,0.374976009
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,3,0.37568
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,4,0.375647992
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,5,0.376064003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,6,0.378560007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,7,0.376960009
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,integrated-tensor,8,0.376127988
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,0,0.370624006
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,1,0.369055986
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,2,0.368703991
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,3,0.369664013
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,4,0.368128002
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,5,0.370431989
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,6,0.368191987
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,7,0.370848
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-traversal,8,0.368959993
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,0,0.130623996
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,1,0.122207999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,2,0.122015998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,3,0.122111998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,4,0.121983998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,5,0.12128
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,6,0.121600002
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,7,0.122143999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-matched-leaves,8,0.122560002
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,0,0.103200004
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,1,0.0966719985
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,2,0.0937919989
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,3,0.0944000036
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,4,0.0935999975
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,5,0.0929279998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,6,0.0944639966
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,4,separated-tensor-leaves,7,0.0935999975
