scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,0,0.164192006
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,1,0.161152005
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,2,0.164256006
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,3,0.161471993
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,4,0.161824003
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,5,0.161088005
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,6,0.161247998
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,7,0.160927996
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,8,0.161375999
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,0,0.360064
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,1,0.360864013
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,2,0.359519988
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,3,0.359360009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,4,0.361472011
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,5,0.361919999
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,6,0.359712005
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,7,0.360096008
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,8,0.361375988
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,0,0.42889601
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,1,0.425855994
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,2,0.427839994
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,3,0.426560014
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,4,0.424672008
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,5,0.425888002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,6,0.42790401
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,7,0.425280005
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,8,0.428256005
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,0,0.371968001
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,1,0.370815992
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,2,0.371008009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,3,0.371488005
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,4,0.371616006
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,5,0.371167988
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,6,0.369951993
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,7,0.371935993
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,8,0.370047987
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,0,0.130464002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,1,0.122304
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,2,0.122815996
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,3,0.122847997
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,4,0.122592002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,5,0.122432001
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,6,0.122336
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,7,0.123648003
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,8,0.122975998
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,0,0.199872002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,1,0.190816
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,2,0.191103995
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,3,0.191200003
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,4,0.190944001
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,5,0.190367997
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,6,0.190400004
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,7,0.190144002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,8,0.191264004
Grid,primary,packet-shuffled,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,0,0.106784001
Grid,primary,packet-shuffled,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,1,0.105920002
Grid,primary,packet-shuffled,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,2,0.104447998
Grid,primary,packet-shuffled,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,3,0.102623999
Grid,primary,packet-shuffled,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,4,0.104704
Grid,primary,packet-shuffled,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,5,0.103423998
