scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,0,0.254400015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,1,0.253888011
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,2,0.253663987
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,3,0.25376001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,4,0.253408015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,5,0.254303992
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,6,0.252288014
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,7,0.254079998
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,8,0.253248006
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,0,0.611519992
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,1,0.609664023
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,2,0.609376013
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,3,0.608384013
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,4,0.608991981
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,5,0.608799994
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,6,0.610015988
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,7,0.610047996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,8,0.609632015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,0,0.635936022
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,1,0.636223972
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,2,0.637344003
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,3,0.638463974
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,4,0.636831999
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,5,0.637088001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,6,0.63539201
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,7,0.63539201
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,integrated-tensor,8,0.636063993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,0,0.694079995
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,1,0.694751978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,2,0.693791986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,3,0.693952024
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,4,0.694783986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,5,0.698624015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,6,0.69500798
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,7,0.693311989
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-traversal,8,0.694751978
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,0,0.135455996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,1,0.134719998
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,2,0.135583997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,3,0.134911999
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,4,0.135199994
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,5,0.135296002
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,6,0.135104001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,7,0.135199994
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-matched-leaves,8,0.135360003
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,0,0.109664001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,1,0.107872002
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,2,0.108672
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,3,0.108383998
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,4,0.108255997
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,5,0.108608
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,6,0.108928002
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,7,0.108127996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,e0e1e2,256,144,4,separated-tensor-leaves,8,0.109343998
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,0,0.269632012
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,1,0.268543988
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,2,0.268736005
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,3,0.269216001
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,4,0.268736005
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,5,0.275072008
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,6,0.268992007
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,7,0.268831998
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-cuda32,8,0.268191993
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,0,0.702975988
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,1,0.702304006
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,2,0.701279998
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,3,0.703360021
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,4,0.703136027
Grid,secondary-diffuse,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,4,integrated-matched,5,0.702624023
