scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,0,0.253343999
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,1,0.253695995
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,2,0.25376001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,3,0.253472
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,4,0.252128005
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,5,0.252191991
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,6,0.253856003
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,7,0.254303992
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,8,0.254400015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,0,0.610463977
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,1,0.609983981
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,2,0.610176027
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,3,0.608640015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,4,0.608991981
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,5,0.609440029
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,6,0.609408021
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,7,0.610015988
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-matched,8,0.609311998
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,0,0.716672003
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,1,0.717631996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,2,0.718752027
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,3,0.718335986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,4,0.717696011
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,5,0.71756798
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,6,0.716992021
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,7,0.716512024
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,integrated-tensor,8,0.717024028
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,0,0.694079995
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,1,0.694815993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,2,0.69401598
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,4,separated-traversal,3,0.694688022
