scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,0,0.402431995
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,1,0.380672008
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,2,0.380831987
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,3,0.39100799
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,4,0.375808001
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,5,0.388096005
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,6,0.387071997
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,7,0.381951988
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,8,0.388096005
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,0,0.532480001
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,1,0.539647996
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,2,0.535552025
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,3,0.540543973
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,4,0.53846401
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,5,0.542656004
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,6,0.533504009
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,7,0.536575973
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,8,0.533504009
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,0,0.51503998
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,1,0.512000024
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,2,0.519168019
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,3,0.49971199
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,4,0.515071988
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,5,0.510976017
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,6,0.508928001
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,7,0.515071988
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,integrated-tensor,8,0.510976017
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,0,0.394176006
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,1,0.391135991
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,2,0.38092801
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,3,0.393216014
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,4,0.390911996
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,5,0.394239992
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,6,0.390143991
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,7,0.397983998
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-traversal,8,0.397311985
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,0,0.249855995
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,1,0.242688
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,2,0.243839994
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,3,0.24064
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,4,0.238368005
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,5,0.242688
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,6,0.241664007
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,7,0.242688
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-matched-leaves,8,0.241664007
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,0,0.170847997
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,1,0.168960005
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,2,0.168832004
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,3,0.167935997
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,4,0.168863997
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,5,0.168768004
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,6,0.168960005
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,7,0.168960005
Grid,primary,coherent,builtin-binned-SAH,e0e1e2,256,144,16,separated-tensor-leaves,8,0.166912004
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,0,0.543744028
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,1,0.538496017
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,2,0.545791984
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,3,0.546624005
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,4,0.551904023
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,5,0.550912023
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,6,0.551935971
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,7,0.546815991
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-cuda32,8,0.549888015
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,0,1.16326404
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,1,1.158144
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,2,1.16531205
Grid,primary,packet-shuffled,builtin-binned-SAH,e0e1e2,256,144,16,integrated-matched,3,1.16326404
