scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,0,0.332511991
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,1,0.322560012
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,2,0.322560012
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,3,0.326656014
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,4,0.321536005
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,5,0.33792001
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,6,0.331775993
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,7,0.325632006
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-cuda32,8,0.332800001
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,0,1.03087997
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,1,1.02604795
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,2,1.02092803
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,3,1.02502406
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,4,1.02486396
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,5,1.01990402
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,6,1.01968002
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,7,1.01888001
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-matched,8,1.01273596
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,0,1.09158397
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,1,1.10694396
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,2,1.09440005
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,3,1.09971201
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,4,1.09251201
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,5,1.08134401
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,6,1.10713601
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,7,1.10080004
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,integrated-tensor,8,1.10080004
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,0,1.09568
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,1,1.10188794
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,2,1.11411202
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,3,1.099648
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,4,1.09875202
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,5,1.09651196
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,6,1.11385596
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,7,1.10278404
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-traversal,8,1.09459198
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,0,0.226303995
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,1,0.209023997
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,2,0.208672002
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,3,0.209792003
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,4,0.208895996
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,5,0.207872003
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,6,0.208895996
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,7,0.210784003
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-matched-leaves,8,0.210943997
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,0,0.274432003
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,1,0.273407996
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,2,0.268287987
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,3,0.270112008
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,4,0.268287987
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,5,0.26937601
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,validated,256,144,4,separated-tensor-leaves,6,0.271104008
