scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,0,2.7996161
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,1,2.804672
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,2,2.82191992
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,3,2.78118396
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,4,2.79347205
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,5,2.80678391
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,6,2.78937602
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,7,2.80883193
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,8,2.7688961
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,0,3.96492791
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,1,3.96492791
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,2,3.95558405
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,3,3.976192
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,4,3.97824001
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,5,3.90348792
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,6,3.99548793
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,7,3.95241594
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-matched,8,3.93420792
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,0,2.61120009
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,1,2.62348795
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,2,2.59788799
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,3,2.60687995
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,4,2.62537599
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,5,2.598912
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,6,2.60198402
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,7,2.60300803
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-tensor,8,2.60403204
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,0,0.362495989
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,1,0.364511997
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,2,0.360255986
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,3,0.359423995
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,4,0.366560012
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,5,0.362495989
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,6,0.369664013
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,7,0.360448003
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-traversal,8,0.361472011
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,0,3.97689605
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,1,3.98233604
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,2,4.00691223
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,3,3.99155211
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,4,3.955616
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,5,3.99667192
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,6,4.02124786
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,7,3.96185589
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-matched-leaves,8,4.02137613
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,0,2.47193599
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,1,2.46681595
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,2,2.45862389
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,3,2.47603202
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,4,2.47500801
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,5,2.47190404
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,6,2.4840641
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,7,2.4862721
CoastalCliffHigh,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,256,separated-tensor-leaves,8,2.48217607
CoastalCliffHigh,primary,packet-shuffled,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,0,1.15436804
CoastalCliffHigh,primary,packet-shuffled,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,1,1.14175999
CoastalCliffHigh,primary,packet-shuffled,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,2,1.11836803
CoastalCliffHigh,primary,packet-shuffled,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,3,1.13766396
CoastalCliffHigh,primary,packet-shuffled,builtin-binned-SAH,uvt-depthsorted,256,144,256,integrated-cuda32,4,1.15177596
