scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,0,0.373760015
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,1,0.388096005
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,2,0.368544012
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,3,0.381951988
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,4,0.390143991
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,5,0.381951988
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,6,0.374783993
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,7,0.374783993
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-cuda32,8,0.381951988
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,0,0.529407978
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,1,0.530431986
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,2,0.539647996
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,3,0.533504009
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,4,0.544384003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,5,0.531455994
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,6,0.532480001
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,7,0.529407978
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-matched,8,0.536671996
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,0,0.505855978
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,1,0.512831986
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,2,0.512672007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,3,0.524064004
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,4,0.513664007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,5,0.508928001
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,6,0.515071988
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,7,0.513952017
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,integrated-tensor,8,0.506879985
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,0,0.386047989
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,1,0.390208006
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,2,0.384000003
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,3,0.391167998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,4,0.391167998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,5,0.399360001
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,6,0.388096005
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,7,0.38688001
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-traversal,8,0.390143991
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,0,0.236543998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,1,0.240896001
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,2,0.238943994
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,3,0.237568006
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,4,0.240608007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,5,0.238591999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,6,0.238591999
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,7,0.239616007
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-matched-leaves,8,0.238432005
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-tensor-leaves,0,0.166912004
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-tensor-leaves,1,0.169983998
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-tensor-leaves,2,0.168960005
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-tensor-leaves,3,0.166687995
Grid,primary,coherent,builtin-binned-SAH,uvt-depthsorted,256,144,16,separated-tensor-leaves,4,0.167584002
