scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,0,0.371711999
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,1,0.389120013
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,2,0.381951988
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,3,0.371455997
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,4,0.378719985
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,5,0.381855994
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,6,0.390143991
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,7,0.38092801
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,8,0.380735993
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,0,0.533151984
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,1,0.533504009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,2,0.530431986
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,3,0.53945601
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,4,0.530463994
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,5,0.533504009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,6,0.541311979
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,7,0.540607989
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-matched,8,0.534528017
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,0,0.624639988
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,1,0.630783975
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,2,0.635904014
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,3,0.631807983
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,4,0.617471993
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,5,0.629599988
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,6,0.645120025
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,7,0.626496017
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,integrated-tensor,8,0.644096017
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,0,0.403456002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,1,0.390143991
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,2,0.395264
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,3,0.400384009
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,4,0.393216014
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,5,0.397311985
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,6,0.403456002
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,7,0.386047989
Grid,primary,coherent,builtin-binned-SAH,validated,256,144,16,separated-traversal,8,0.394239992
