scene,ray_kind,ray_order,bvh_builder,tensor_variant,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,0,0.492736012
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,1,0.468991995
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,2,0.474112004
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,3,0.4648
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,4,0.470016003
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,5,0.468991995
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,6,0.4648
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,7,0.470016003
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-cuda32,8,0.47104001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,0,0.754688025
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,1,0.751616001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,2,0.756735981
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,3,0.749567986
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,4,0.755648017
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,5,0.746496022
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,6,0.750591993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,validated,256,144,16,integrated-matched,7,0.752735972
