scene,ray_order,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,coherent,256,144,256,integrated-matched,0,1.38233602
Grid,coherent,256,144,256,integrated-matched,1,1.33324802
Grid,coherent,256,144,256,integrated-matched,2,1.37625599
Grid,coherent,256,144,256,integrated-matched,3,1.37420797
Grid,coherent,256,144,256,integrated-matched,4,1.38035202
Grid,coherent,256,144,256,integrated-matched,5,1.35577595
Grid,coherent,256,144,256,integrated-matched,6,1.40287995
Grid,coherent,256,144,256,integrated-matched,7,1.35168004
Grid,coherent,256,144,256,integrated-matched,8,1.38342404
Grid,coherent,256,144,256,integrated-tensor,0,1.42316794
Grid,coherent,256,144,256,integrated-tensor,1,1.41510403
Grid,coherent,256,144,256,integrated-tensor,2,1.41414404
Grid,coherent,256,144,256,integrated-tensor,3,1.43257594
Grid,coherent,256,144,256,integrated-tensor,4,1.44179201
Grid,coherent,256,144,256,integrated-tensor,5,1.43760002
Grid,coherent,256,144,256,integrated-tensor,6,1.46012795
Grid,coherent,256,144,256,integrated-tensor,7,1.43257594
Grid,coherent,256,144,256,integrated-tensor,8,1.44998395
Grid,coherent,256,144,256,separated-traversal,0,0.272383988
Grid,coherent,256,144,256,separated-traversal,1,0.248832002
Grid,coherent,256,144,256,separated-traversal,2,0.259072006
Grid,coherent,256,144,256,separated-traversal,3,0.248832002
Grid,coherent,256,144,256,separated-traversal,4,0.249855995
Grid,coherent,256,144,256,separated-traversal,5,0.250880003
Grid,coherent,256,144,256,separated-traversal,6,0.247807994
Grid,coherent,256,144,256,separated-traversal,7,0.251904011
Grid,coherent,256,144,256,separated-traversal,8,0.251807988
Grid,coherent,256,144,256,separated-matched-leaves,0,1.14175999
Grid,coherent,256,144,256,separated-matched-leaves,1,1.11923206
Grid,coherent,256,144,256,separated-matched-leaves,2,1.13766396
Grid,coherent,256,144,256,separated-matched-leaves,3,1.05779195
Grid,coherent,256,144,256,separated-matched-leaves,4,1.14483202
Grid,coherent,256,144,256,separated-matched-leaves,5,1.08748806
Grid,coherent,256,144,256,separated-matched-leaves,6,1.07100797
Grid,coherent,256,144,256,separated-matched-leaves,7,1.14790404
Grid,coherent,256,144,256,separated-matched-leaves,8,1.13459206
Grid,coherent,256,144,256,separated-tensor-leaves,0,1.34041595
Grid,coherent,256,144,256,separated-tensor-leaves,1,1.36575997
Grid,coherent,256,144,256,separated-tensor-leaves,2,1.35577595
Grid,coherent,256,144,256,separated-tensor-leaves,3,1.30656004
Grid,coherent,256,144,256,separated-tensor-leaves,4,1.35372806
Grid,coherent,256,144,256,separated-tensor-leaves,5,1.37420797
Grid,coherent,256,144,256,separated-tensor-leaves,6,1.32812798
Grid,coherent,256,144,256,separated-tensor-leaves,7,1.32710397
Grid,coherent,256,144,256,separated-tensor-leaves,8,1.31788802
Grid,packet-shuffled,256,144,256,integrated-matched,0,2.84764791
Grid,packet-shuffled,256,144,256,integrated-matched,1,2.49958396
Grid,packet-shuffled,256,144,256,integrated-matched,2,2.54361606
Grid,packet-shuffled,256,144,256,integrated-matched,3,2.55180812
Grid,packet-shuffled,256,144,256,integrated-matched,4,2.60608006
Grid,packet-shuffled,256,144,256,integrated-matched,5,2.56598401
Grid,packet-shuffled,256,144,256,integrated-matched,6,2.59071994
Grid,packet-shuffled,256,144,256,integrated-matched,7,2.59379196
Grid,packet-shuffled,256,144,256,integrated-matched,8,2.57024002
Grid,packet-shuffled,256,144,256,integrated-tensor,0,2.47107196
Grid,packet-shuffled,256,144,256,integrated-tensor,1,2.40412807
Grid,packet-shuffled,256,144,256,integrated-tensor,2,2.41561604
Grid,packet-shuffled,256,144,256,integrated-tensor,3,2.44019198
Grid,packet-shuffled,256,144,256,integrated-tensor,4,2.4606719
Grid,packet-shuffled,256,144,256,integrated-tensor,5,2.51392007
Grid,packet-shuffled,256,144,256,integrated-tensor,6,2.45760012
Grid,packet-shuffled,256,144,256,integrated-tensor,7,2.45456004
Grid,packet-shuffled,256,144,256,integrated-tensor,8,2.43711996
Grid,packet-shuffled,256,144,256,separated-traversal,0,0.715776026
Grid,packet-shuffled,256,144,256,separated-traversal,1,0.713472009
Grid,packet-shuffled,256,144,256,separated-traversal,2,0.720640004
Grid,packet-shuffled,256,144,256,separated-traversal,3,0.714752018
Grid,packet-shuffled,256,144,256,separated-traversal,4,0.708607972
Grid,packet-shuffled,256,144,256,separated-traversal,5,0.715551972
Grid,packet-shuffled,256,144,256,separated-traversal,6,0.714752018
Grid,packet-shuffled,256,144,256,separated-traversal,7,0.721759975
Grid,packet-shuffled,256,144,256,separated-traversal,8,0.719871998
Grid,packet-shuffled,256,144,256,separated-matched-leaves,0,2.22105598
Grid,packet-shuffled,256,144,256,separated-matched-leaves,1,2.171808
Grid,packet-shuffled,256,144,256,separated-matched-leaves,2,2.16883206
Grid,packet-shuffled,256,144,256,separated-matched-leaves,3,2.17292809
Grid,packet-shuffled,256,144,256,separated-matched-leaves,4,2.10432005
Grid,packet-shuffled,256,144,256,separated-matched-leaves,5,2.19136
Grid,packet-shuffled,256,144,256,separated-matched-leaves,6,2.15756798
Grid,packet-shuffled,256,144,256,separated-matched-leaves,7,2.12275195
Grid,packet-shuffled,256,144,256,separated-matched-leaves,8,2.16268802
Grid,packet-shuffled,256,144,256,separated-tensor-leaves,0,2.497504
Grid,packet-shuffled,256,144,256,separated-tensor-leaves,1,2.504704
