scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,0,0.444319993
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,1,0.419840008
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,2,0.429055989
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,3,0.407552004
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,4,0.423743993
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,5,0.411648005
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,6,0.418816
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,7,0.414719999
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-cuda32,8,0.443360001
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,0,1.35065603
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,1,1.37113595
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,2,1.36908805
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,3,1.39059198
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,4,1.37420797
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,5,1.35884798
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,6,1.35065603
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,7,1.36294401
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-matched,8,1.37011194
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-tensor,0,1.47865605
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-tensor,1,1.50528002
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-tensor,2,1.47763205
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-tensor,3,1.55843198
CheckerHigh,primary,coherent,builtin-binned-SAH,256,144,4,integrated-tensor,4,1.51654398
