scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,0,0.473087996
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,1,0.465056002
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,2,0.452607989
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,3,0.448287994
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,4,0.455552012
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,5,0.451615989
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,6,0.458496004
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,7,0.457727998
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,8,0.450399995
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,0,0.614400029
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,1,0.63312
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,2,0.624639988
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,3,0.626688004
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,4,0.621439993
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,5,0.614400029
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,6,0.620544016
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,7,0.614400029
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,8,0.624639988
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,0,0.727039993
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,1,0.746367991
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,2,0.754688025
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,3,0.734207988
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,4,0.742399991
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,5,0.729088008
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,6,0.751616001
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,7,0.746496022
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,8,0.749567986
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,0,0.44748801
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,1,0.441152006
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,2,0.431104004
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,3,0.445567995
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,4,0.444415987
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,5,0.438271999
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,6,0.444319993
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,7,0.436224014
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,8,0.439072013
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,0,0.301055998
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,1,0.296959996
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,2,0.297984004
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,3,0.289792001
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,4,0.293888003
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,5,0.299008012
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,6,0.301055998
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,7,0.284671992
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,8,0.29491201
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,0,0.439263999
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,1,0.438111991
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,2,0.440319985
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,3,0.449535996
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,4,0.438015997
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,5,0.443232
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,6,0.431104004
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,7,0.444287986
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-tensor-leaves,8,0.430079997
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,0,0.625663996
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,1,0.618496001
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,2,0.615423977
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,3,0.615423977
Grid,primary,packet-shuffled,builtin-binned-SAH,256,144,16,integrated-cuda32,4,0.606208026
