scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,0,0.44748801
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,1,0.451359987
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,2,0.448511988
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,3,0.458752006
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,4,0.451584011
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,5,0.454656005
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,6,0.461824
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,7,0.451584011
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-cuda32,8,0.454751998
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,0,0.621568024
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,1,0.617471993
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,2,0.62361598
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,3,0.608192027
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,4,0.615423977
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,5,0.631807983
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,6,0.618336022
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,7,0.625663996
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-matched,8,0.620544016
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,0,0.731935978
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,1,0.712704003
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,2,0.749567986
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,3,0.736256003
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,4,0.738304019
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,5,0.726015985
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,6,0.735231996
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,7,0.741375983
Grid,primary,coherent,builtin-binned-SAH,256,144,16,integrated-tensor,8,0.716736019
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,0,0.450560004
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,1,0.458528012
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,2,0.448511988
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,3,0.441343993
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,4,0.444415987
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,5,0.442368001
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,6,0.442368001
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,7,0.438271999
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-traversal,8,0.449503988
Grid,primary,coherent,builtin-binned-SAH,256,144,16,separated-matched-leaves,0,0.306176007
