scene,ray_kind,ray_order,bvh_builder,width,height,max_leaf_triangles,timing_scope,sample_index,milliseconds
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,0,0.477183998
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,1,0.475136012
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,2,0.473087996
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,3,0.468672007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,4,0.472063988
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,5,0.471935987
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,6,0.465631992
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,7,0.47615999
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-cuda32,8,0.47104001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,0,0.750591993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,1,0.753664017
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,2,0.750591993
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,3,0.754688025
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,4,0.758687973
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,5,0.756735981
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,6,0.758687973
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,7,0.762880027
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-matched,8,0.757759988
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,0,0.955392003
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,1,0.960511982
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,2,0.965632021
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,3,0.966656029
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,4,0.964543998
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,5,0.962559998
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,6,0.965632021
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,7,0.961727977
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,integrated-tensor,8,0.963584006
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,0,0.556895971
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,1,0.579487979
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,2,0.554880023
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,3,0.559104025
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,4,0.550912023
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,5,0.565248013
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,6,0.54272002
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,7,0.56329602
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-traversal,8,0.551935971
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,0,0.343807995
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,1,0.307392001
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,2,0.306176007
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,3,0.307200015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,4,0.307200015
Grid,secondary-diffuse,pixel-ordered,builtin-binned-SAH,256,144,16,separated-matched-leaves,5,0.307936013
